"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"1698","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Brajesh Mishra, Principal Secretary to the Pri Minister and National Security Advisor, India.","Non-acceptance would cause emme barrassment to donor and U.S. Government.","Desk accessory: 5″ 31⁄2″ 1″ Lalique Owl curved crystal desk clock with 3⁄4″ silver trim fac with owls in relief and signed ‘‘Lalique France’’",".","435","2003-09-23","India"
"1699","Rice, Condoleezza, Assistant to the President for National Security Affairs.","y Their Majesties King Abdullah II erand Queen Rania al Abdullah of the Hasemite Kingdom of Jordan. nt","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessory: 51⁄2″ 51⁄2″ ivor stationery held in 6″ 6″ st ling silver note pad holder engraved with Arabic characters",".","350","2003-12-04","Jordan"
"1700","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Wen Jiabao, Premier of the State Council of y People’s Republic of China.","Non-acceptance would cause emhe barrassment to donor and U.S. Government.","Artwork: 31″ 151⁄2″ silk embroidered picture of five peonies and butterflies with calligraph in black in background; double matted and held in 421⁄2″ 231⁄2″ wood frame",".","450","2003-12-09","Republic of China"
"1701","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Highness Sheikh Sabah AlAhmed Al-Jaber Al-Saba Prime Minister of the State of Kuwait.","Non-acceptance would cause emh, barrassment to donor and U.S. Government.","Desk accessory: 18″ 61⁄2″ 13″ slate grey composite BRICS attache case with brown leather trim, combination lock, beige suede and dark brown leather interior desk compartment and silk lined luggage compartment",".","390","2003-12-19","Saba"
"1702","Rice, Condoleezza, Assistant to the President for National Security Affairs.","Her Excellency Bouthai Shaaban, Minister of Expatriate id Affairs of the Syrian Arab Republic.","na Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: 23⁄4″ 113⁄4″ 75⁄8″ rectangular wooden box with fitted lid, decorated with inla geometric pattern in bone, ebony and other materials, with lacquer finish",".","200","2003-12-23","Thailand"
"1703","Tubb, Richard J., Col, USAF, Director, White House Medical Unit.","His Excellency Olusegu Obasanjo, President of the Federal Republic of Nigeria.","n Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: lengths of batik cloth (122″ 50″) and (54″ 50″) fo booboo robe in orange, indigo, white and turquoise",".","275","2003-07-12","Niger"
"1704","President George Bush","His Excellency Leszek Miller, Prime Minister of the Republic of Poland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessories: sterling silver and amber pen stand with silver border and outline of building; including silver pen",".","450","2002-01-14","Poland"
"1705","President George Bush","His Excellency Bulent Ecevit, Prime Minister of the Republic of Turkey. r","Non-acceptance would cause embarrassment to donor and U.S. Government.","Softcover books (16): multi-volume set of the works of Turkish poet Mevlana Celaleddin; translated by Nevit O. Ergin. Leatherbound reproduction of the ‘‘Holy Koran’’, hand-lettere by Ahmed Karahisari in the sixteenth century; held in leathe case",".","990","2002-01-16","Turkey"
"1706","President George Bush","His Excellency Valdas Adamkus, President of the Republic of Lithuania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 11″ 11″ ‘‘Over the Horizon,’’ by Azuolas Vaitukaitis; gold-plated copper plaque etched with fields, with amber stone representing the sun; held in black presentation case with plaque engraved to President George W. Bush",".","600","2002-01-17","Lithuania"
"1707","President George Bush","His Excellency Hamid Karzai, Chairman of the Interim Authority of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Rug: 116″ 84″ fringed wool and silk Afghan rug with multicolored pattern on gold background",".","400","2002-01-28","Afghanistan"
"1708","President George Bush","His Excellency Mikhail Kasyanov, Chairman of the Government of 4, the Russian Federation.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 17″ 12″ 9″ metal sculpture of four people in troika",".","450","2002-02-01","Russia"
"1709","President George Bush","His Excellency Pervez Musharraf, President of the Islamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Rug: 83″ 56″ multi-colored Oriental rug, primarily in blue",".","280","2002-02-13","Pakistan"
"1710","President George Bush","His Excellency Kim Dae-jung, President of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Chunma-ch’ong Gold Crown (replica): 5th–6th century Silla Dynasty, National Treasure #188",".","350","2002-02-19","South Korea"
"1711","President George Bush","His Excellency Jiang Zemin, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: ‘‘30 Years of Sino-US Relations,’’ by Xiyuan Publishing House, China Intercontinental Press; inscribed by donor, and presented in goldcolored book box",".","550","2002-02-21","Republic of China"
"1712","President George Bush","His Excellency Joaquim Alberto Chissano, President of the Republic of Mozambique. st.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 27″ carving of numerous connected figures, made from single piece of ebony",".","120","2002-02-26","Mozambique"
"1713","President George Bush","His Excellency Jose Eduardo dos Santos, President of the Republic of Angola.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 28″ wooden carving of male figure carrying knife and balancing vessel on his head; held in red presentation case",".","137","2002-02-26","Angola"
"1714","President George Bush","r His Excellency Mohamed Hosny Mubarak, President of the Arab Republic of Egypt.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Box: 7″ 7″ 13⁄4″ sterling silve box lined in blue velvet and engraved in Arabic on top; held in blue velvet presentation case",".","500","2002-03-05","Egypt"
"1715","President George Bush","His Excellency Islam Karimov, President of the Republic of Uzbekistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: traditional Uzbeck attire consisting of multi-colored sil scarf (49″ 49″), collapsible 6″ black leather hat with white design, and navy blue velvet robe with elaborate gold embroidery",".","750","2002-03-12","Uzbekistan"
"1716","President George Bush","His Excellency Bertie Ahern, Prime Minister of Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Bowl: 12″ Tipperary Crystal bowl, engraved with St. Patrick’s Day message from Prime Minister Ahern on behalf of the Irish people",".","321","2002-03-13","Ireland"
"1717","President George Bush","His Excellency Jacques Chirac, President of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: six bottles of 1990 Chateau La Lagune HautMedoc wine",".","372","2002-03-22","France"
"1718","President George Bush","His Excellency Vicente Fox Quesada, President of the United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Vase: Olmeca vase of sterling silver with geometric design",".","300","2002-03-22","Mexico"
"1719","President George Bush","His Excellency Alejandro Toledo Manrique, President of the Republic of Peru.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Stirrups: pair of wooden stirrups (9″ 9″ 7″) with elaborate sil ver detail",".","500","2002-03-23","Peru"
"1720","President George Bush","The Honorable Dr. Edmund Stoiber, Minister-President of the Free State of Bavaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Statue: 18″ white porcelain elephant",".","400","2002-04-12","Germany"
"1721","President George Bush","Her Excellency Tarja Halonen, President of Finland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Glassware: four pieces of Iittala glass designed by Alvar Aalto, including 6″ and 43⁄4″ vases, 3″ bowl, and 14″ platter",".","690","2002-04-16","Finland"
"1722","President George Bush","His Excellency Rafiq al-Hariri, Prime Minister of the Republic of Lebanon.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Humidor: 121⁄2″ 53⁄4″ 91⁄4″ pol ished wood humidor with street scene painted on lid",".","350","2002-04-17","Lebanon"
"1723","President George Bush","His Majesty Mohammed VI, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Dagger: 17″ knife made of 18K gold with diamonds and rubies on ivory hilt; gold scabbard is elaborately detailed with diamonds and rubies",".","200","2002-04-23","Morocco"
"1724","President George Bush","His Excellency Simeon SaxeCoburg-Gotha, Prime Minister of the Republic of Bulgaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Icon: 51⁄2″ 71⁄2″ painted wooden image of St. George slaying the dragon; held in red velvet case",".","300","2002-04-23","Bulgaria"
"1725","President George Bush","His Royal Highness Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Dagger: 10″ knife, with finely detailed 18K gold hilt and scabbard decorated with small diamonds; held in green leather case with the Saudi Arabian coat of arms on lid",".","350","2002-04-25","United Arab Emirates"
"1726","President George Bush","His Excellency Hu Jintao, Vice President of the People’s Republic of china.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Vase: 11″ onion-shaped vase with blue and purple glaze and wooden stand; held in silkcovered presentation case",".","350","2002-05-01","Republic of China"
"1727","President George Bush","His Excellency Jose Maria Aznar, President of the Government of Spain and Mrs. Aznar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Saddle: leather saddle with sheepskin cover and accompanying bridle, harness and stirrups",".","125","2002-05-02","Spain"
"1728","President George Bush","His Excellency Sher Bahadur Deuba, Prime Minister of Nepal.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Vessel: 6″ silver cup with elaborate detailing and four colored stones on stem",".","350","2002-05-07","Nepal"
"1729","President George Bush","Their Majesties King Abdullah II, and Queen Rania al Abdullah.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Box: 11″ 61⁄4″ 2″ silver box lined with burled wood, with Jordanian seal and signature etched on lid; held in red leather case",".","1000","2002-05-08","Jordan"
"1730","President George Bush","His Excellency YAB Dato Seri Dr. Mahathir bin Mohamad, Prime Minister of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Rice bowl: 71⁄2″ traditional silver ‘‘Bekas Nasi’’ (rice container) with lid and elaborate gold detailing; held in green leather presentation case",".","750","2002-05-14","Malaysia"
"1731","President George Bush","His Excellency Janez Drnovsek, Prime Minister of the Republic of Slovenia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Sword: ‘‘The Knight’s Saber of Peace’’, 34″ stainless steel sword; held in wooden presentation case",".","500","2002-05-17","Slovenia"
